Page,Modal Count,Modals
Sheduledshifts.jsx,10,"Add Modal, Calendar Modal, DatePicker Modal, DatePickerModal, EmployeeEdit Modal, EmployeeEditModal, ExportDropdown Modal, Options Modal, ShiftEditor Modal, ShiftEditorModal"
Memberss.jsx,7,"CreateMembershipModal, CreateModal, DetailModal, MembershipDetailModal, ProfessionalMembershipModal, ProfessionalModal, ServiceModal"
Teammembers.jsx,6,"AddModal, EditMemberModal, EditModal, ExportDropdown Modal, Password Modal, PasswordResetModal"
Clientlist.jsx,5,"ClientFormModal, DeleteModal, ExportMenu Modal, Modal, Toast Modal"
Membership.jsx,4,"AssignModal, ClientDropdown Modal, ExportDropdown Modal, Filters Modal"
Giftcard.jsx,3,"AssignModal, ClientDropdown Modal, ExportMenu Modal"
Appoint.jsx,3,"ExportMenu Modal, FilterPopup Modal, SingleDate Modal"
ServiceMenu.jsx,3,"AddCategoryModal, AddModal, EditModal"
Dailysalesss.jsx,3,"AddMenu Modal, Calendar Modal, ExportMenu Modal"
test.jsx,2,"BookingModal, ClientSearch Modal"
TopNavBar.jsx,2,"Notifications Modal, Search Modal"
test_backup.jsx,2,"BookingModal, ClientSearch Modal"
GiftCardPage.jsx,2,"CreateGiftCardModal, CreateModal"
TimeSheets.jsx,2,"DatePickerModal, ExportModal"
Signuppage.jsx,1,Password Modal
Loginpage.jsx,1,Password Modal
MultiServiceBookingModal.jsx,1,MultiServiceBookingModal
DashboardLayout.jsx,0,
Paymentclient.jsx,0,
SideBarConfig.jsx,0,
Salespage.jsx,0,
HomePage.jsx,0,
SearchBar.jsx,0,
PaymentSummary.jsx,0,
Createmembership.jsx,0,
Dashboard.jsx,0,
PaymentAPITester.jsx,0,
MainSideBar.jsx,0,
NestedSideBar.jsx,0,
